,CondTempCirc1,Data_EVD_Emb_1.EVD.Variables.EEV_PosPercent.Val,DscgTempCirc1,EbmpapstFan_1_Mng.ElectrInfo_EBM_1.CurrPower,EvapTempCirc1,ExtTemp,FiltPress,InvInfoCirc1.Info_MotPwr,PumpPress,SubCoolCir1,SuctSH_Circ1,UnitStatus,W_InTempUser,W_OutTempEvap,W_OutTempUser,WaterFlowMeter,timestamp
236,38.0,75.6,60.8,30.3,7.4,28.1,1.1,1.8,4.1,3.0,7.9,9.0,15.3,13.3,13.6,65.2,2020-10-07T17:04:22.590Z
237,43.3,80.6,68.5,40.0,7.1,37.7,0.7,2.6,4.3,3.3,9.0,9.0,16.1,13.8,13.8,50.5,2020-09-02T15:53:48.396Z
238,45.2,72.1,82.4,44.7,2.3,37.8,0.7,2.8,4.2,2.3,6.2,9.0,9.0,6.3,6.2,52.5,2020-08-21T06:18:39.524Z
239,24.6,3.8,40.3,3.8,1.7,21.2,0.3,0.2,4.5,3.1,7.1,9.0,8.0,7.2,7.0,30.8,2020-11-04T13:11:18.493Z
240,24.6,2.7,40.5,2.7,1.9,21.3,0.3,0.2,4.5,3.2,7.0,9.0,8.0,7.2,7.0,30.8,2020-11-04T13:11:26.686Z
241,37.2,60.4,67.3,26.7,3.4,29.0,1.1,1.4,4.1,2.7,7.8,9.0,11.3,9.2,9.3,64.9,2020-10-08T08:49:12.894Z
242,46.9,77.3,75.5,42.7,6.3,37.4,0.6,3.0,4.3,2.6,8.2,9.0,14.8,11.7,11.9,46.6,2020-08-21T12:18:47.464Z
243,46.9,77.3,75.5,42.7,6.3,37.4,0.6,3.0,4.3,2.6,8.2,9.0,14.8,11.7,11.9,46.6,2020-08-21T12:18:47.464Z
244,44.5,66.5,83.2,43.8,2.0,37.1,0.8,2.6,4.2,2.2,7.9,9.0,10.1,7.8,7.8,54.5,2020-08-12T22:50:19.908Z
245,42.7,70.2,76.6,38.1,6.1,38.4,0.5,2.0,4.4,2.5,7.6,9.0,13.9,10.5,10.4,41.0,2020-09-02T12:49:24.302Z
246,42.7,68.8,76.5,38.1,6.2,38.4,0.5,2.0,4.4,2.6,7.5,9.0,13.9,10.5,10.4,41.0,2020-09-02T12:49:27.769Z
247,37.0,70.6,61.2,32.2,3.8,27.7,1.1,1.8,4.1,2.8,8.6,9.0,12.4,10.2,10.5,64.9,2020-10-07T18:32:42.239Z
248,42.9,56.7,75.1,41.2,0.3,36.7,0.8,2.0,4.2,2.4,5.9,9.0,6.0,4.1,4.1,54.5,2020-08-12T17:53:07.855Z
249,42.8,57.7,75.6,40.9,0.4,36.5,0.8,2.0,4.2,2.5,5.7,9.0,5.9,4.1,4.0,54.6,2020-08-12T17:53:36.000Z
250,41.2,48.8,63.2,33.1,10.3,37.8,0.6,0.8,4.3,1.9,6.6,9.0,16.5,14.8,14.8,45.8,2020-09-01T12:18:03.954Z
251,42.0,45.6,62.8,34.4,10.2,37.5,0.6,0.8,4.3,2.3,6.7,9.0,16.5,14.9,14.8,45.9,2020-09-01T12:17:12.852Z
252,41.9,45.8,62.5,34.0,11.1,37.6,0.6,0.8,4.3,2.7,5.9,9.0,16.6,15.0,14.9,45.9,2020-09-01T12:11:42.983Z
253,41.7,43.3,62.6,33.9,10.2,37.4,0.6,0.8,4.3,2.4,6.7,9.0,16.5,14.9,14.8,45.7,2020-09-01T12:16:56.154Z
254,43.2,64.4,80.2,41.0,2.9,39.0,0.6,2.2,4.3,2.2,8.2,9.0,11.4,8.4,8.6,45.9,2020-09-01T20:50:27.250Z
255,40.9,63.8,67.3,40.1,6.8,37.2,0.4,1.5,4.5,2.4,8.0,9.0,14.8,12.0,12.3,35.6,2020-09-03T00:20:25.464Z
256,41.0,64.4,67.3,40.1,6.8,37.3,0.4,1.5,4.5,2.4,8.1,9.0,14.8,12.0,12.3,35.8,2020-09-03T00:20:21.080Z
257,45.6,64.4,85.2,44.9,1.8,38.4,0.5,2.4,4.3,2.3,7.9,9.0,10.1,7.2,7.3,43.9,2020-08-21T15:06:28.792Z
258,42.8,50.8,55.0,41.5,5.2,35.7,0.4,1.3,4.5,2.9,7.8,9.0,12.6,10.4,10.7,35.9,2020-09-02T22:08:12.050Z
259,45.5,72.9,82.1,45.2,3.2,38.0,0.7,2.9,4.2,2.3,5.7,9.0,9.5,6.8,6.7,52.2,2020-08-21T06:07:09.792Z
260,45.4,72.9,82.1,45.2,3.1,37.9,0.7,2.9,4.2,2.3,5.8,9.0,9.5,6.8,6.7,52.2,2020-08-21T06:07:09.308Z
261,40.5,50.2,60.2,38.2,3.4,35.5,0.5,1.3,4.3,2.5,9.1,9.0,12.1,10.6,10.8,43.9,2020-08-21T13:52:12.675Z
262,41.5,42.1,65.9,38.2,7.8,37.5,0.4,0.9,4.5,2.3,6.7,9.0,14.3,12.2,12.1,35.8,2020-09-02T20:32:48.081Z
263,44.0,74.0,79.4,43.1,6.6,34.6,0.5,2.3,4.3,2.2,6.8,9.0,13.9,10.3,10.3,44.4,2020-08-13T20:05:07.762Z
264,31.5,39.6,57.8,26.4,2.6,27.3,1.1,0.7,4.1,3.3,6.1,9.0,8.2,7.1,7.0,64.4,2020-10-08T06:46:19.501Z
265,39.4,51.7,71.3,33.7,5.4,37.2,0.6,0.8,4.3,1.6,6.7,9.0,12.0,9.5,9.4,45.6,2020-09-01T15:29:41.080Z
266,34.3,56.5,58.6,30.2,2.6,27.1,1.1,1.2,4.1,2.9,8.0,9.0,10.4,9.0,9.1,64.9,2020-10-08T01:01:01.556Z
267,34.4,56.5,58.8,30.3,2.5,27.1,1.1,1.2,4.1,2.8,8.1,9.0,10.4,9.0,9.0,64.9,2020-10-08T01:01:13.413Z
268,42.4,72.3,78.5,38.3,6.4,39.0,0.7,1.4,4.3,2.3,7.7,9.0,14.4,11.4,11.2,50.4,2020-09-02T15:47:43.228Z
269,43.2,52.7,64.5,41.0,9.6,37.9,0.4,1.2,4.5,2.6,5.6,9.0,15.1,12.7,12.9,35.7,2020-09-02T20:18:45.707Z
270,43.2,53.1,64.5,41.1,9.6,37.9,0.4,1.2,4.5,2.6,5.6,9.0,15.1,12.7,12.9,35.8,2020-09-02T20:18:44.746Z
271,45.7,71.0,76.2,42.1,5.3,37.0,0.7,2.6,4.2,2.7,8.2,9.0,13.7,11.2,11.4,51.8,2020-08-20T14:22:18.716Z
